Genomes	version	species	MLST
AI2657	v1	ecloacae	133
AI2658	v1	ecloacae	133
AI2659	v1	ecloacae	78
AI2661	v1	cfreundii	22
AI2662	v1	ecloacae	171
AI2664	v1	kpneumoniae	147
AI2665	v1	kpneumoniae	15
AI2666	v1	cfreundii	18
AI2667	v1	kpneumoniae	485
AI2668	v1	cfreundii	18
AI2669	v1	kpneumoniae	15
AI2670	v1	kpneumoniae	405
AI2671	v1	kpneumoniae	147
AI2672	v1	ecloacae	-
AI2673	v1	ecloacae	-
AI2674	v1	ecloacae	23
AI2675	v1	kpneumoniae	326
AI2676	v1	kpneumoniae	147
AI2677	v1	kpneumoniae	405
AI2678	v1	kpneumoniae	147
AI2679	v1	ecloacae	23
AI2680	v1	cfreundii	18
AI2681	v1	kpneumoniae	326
AI2682	v1	kpneumoniae	147
AI2683	v1	ecloacae	66
AI2686	v1	kpneumoniae	326
AI2687	v1	kpneumoniae	147
AI2688	v1	ecloacae	78
AI2689	v1	ecloacae	171
AI2691	v1	kpneumoniae	147
AI2693	v1	kpneumoniae	567
AI2694	v1	ecloacae	23
AI2695	v1	ecloacae	78
AI2696	v1	ecloacae	-
AI2697	v1	ecloacae	171
AI2698	v1	kpneumoniae	15
AI2699	v1	koxytoca	-
AI2700	v1	kpneumoniae	1961
AI2701	v1	kpneumoniae	273
AI2702	v1	kpneumoniae	14
AI2703	v1	ecoli	162
AI2704	v1	ecloacae	96
AI2705	v1	ecloacae	515
AI2706	v1	kpneumoniae	512
AI2707	v1	kpneumoniae	512
AI2709	v1	kpneumoniae	678
AI2710	v1	ecloacae	96
AI2711	v1	koxytoca	-
AI2713	v1	kpneumoniae	273
AI2714	v1	kpneumoniae	512
AI2715	v1	ecoli	23
AI2716	v1	ecloacae	742
AI2717	v1	kpneumoniae	1961
AI2719	v1	ecloacae	515
AI2721	v1	ecoli	131
AI2722	v1	kpneumoniae	307
AI2723	v1	kpneumoniae	258
AI2739	v1	kpneumoniae	11
AI2740	v1	kpneumoniae	-
AI2741	v1	kpneumoniae	-
AI2742	v1	kpneumoniae	11
AI2743	v1	kpneumoniae	11
AI2744	v1	koxytoca	2
AI2745	v1	kpneumoniae	11
AI2746	v1	kpneumoniae	-
AI2747	v1	ecloacae	182
AI2748	v1	kpneumoniae	11
AI2749	v1	kpneumoniae	11
AI2750	v1	kpneumoniae	11
AI2751	v1	kpneumoniae	-
AI2752	v1	kpneumoniae	-
AI2753	v1	kpneumoniae	-
AI2754	v1	kpneumoniae	-
AI2755	v2	kpneumoniae	11
AI2756	v1	kpneumoniae	11
AI2757	v1	kpneumoniae	-
AI2660	v1	kpneumoniae	11
AI2759	v1	ecloacae	114
AI2761	v1	kpneumoniae	-
AI2762	v1	ecloacae	125
AI2763	v1	kpneumoniae	147
AI2764	v1	kpneumoniae	147
AI2765	v1	kpneumoniae	147
AI2766	v1	kpneumoniae	147
AI2767	v1	kpneumoniae	147
AI2768	v1	kpneumoniae	147
AI2769	v1	kpneumoniae	147
AI2770	v1	kpneumoniae	147
AI2771	v2	kpneumoniae	101
AI2772	v1	ecloacae	110
AI2773	v2	kpneumoniae	307
AI2774	v1	ecloacae	78
AI2775	v1	kpneumoniae	147
AI2776	v1	kpneumoniae	11
AI2777	v1	kpneumoniae	307
AI2778	v1	kpneumoniae	11
AI2779	v1	kpneumoniae	437
AI2780	v1	kpneumoniae	11
AI2781	v1	kpneumoniae	307
AI2782	v1	kpneumoniae	11
AI2784	v1	kpneumoniae	11
AI2785	v1	kpneumoniae	11
AI2786	v1	kpneumoniae	307
AI2787	v1	kpneumoniae	307
AI2789	v1	kpneumoniae	307
AI2790	v1	kpneumoniae	11
AI2791	v1	kpneumoniae	307
AI2792	v1	kpneumoniae	437
AI2793	v1	kpneumoniae	437
AI2794	v1	kpneumoniae	307
AI2795	v1		
AI2796	v1	ecloacae	-
AI2797	v1	ecloacae	24
AI2798	v1	ecloacae	78
AI2799	v1	ecloacae	1015
AI2800	v1	kpneumoniae	405
AI2801	v1	kpneumoniae	101
AI2802	v1	ecloacae	24
AI2803	v1	kpneumoniae	628
AI2804	v2	ecloacae	78
AI2805	v1	kpneumoniae	512
AI2806	v1	kpneumoniae	512
AI2807	v1	kpneumoniae	512
AI2808	v1	kpneumoniae	512
AI2809	v1	kpneumoniae	512
AI2810	v1	kpneumoniae	512
AI2811	v1	kpneumoniae	512
AI2812	v1	kpneumoniae	512
AI2813	v1	kpneumoniae	512
AI2814	v1	kpneumoniae	512
AI2815	v1	kpneumoniae	512
AI2816	v1	kpneumoniae	512
AI2817	v1	kpneumoniae	512
AI2818	v1	kpneumoniae	15
AI2819	v1	kpneumoniae	15
AI2820	v1	kpneumoniae	1189
AI2821	v1	ecoli	362
AI2822	v1	kpneumoniae	392
AI2823	v1	kpneumoniae	11
AI2824	v1	kpneumoniae	11
AI2825	v1	kpneumoniae	11
AI2826	v1	cfreundii	22
AI2828	v1	koxytoca	202
AI2829	v1	kpneumoniae	15
AI2830	v1	kpneumoniae	147
AI2831	v1	ecoli	127
AI2834	v1	ecoli	624
AI2835	v1	kpneumoniae	512
AI2836	v1	kpneumoniae	512
AI2837	v1	kpneumoniae	512
AI2838	v1	kpneumoniae	307
AI2839	v1	ecloacae	413
AI2840	v1	kpneumoniae	392
AI2841	v1	kpneumoniae	392
AI2842	v1	kpneumoniae	1401
AI2843	v1	ecoli	410
AI2844	v1	kpneumoniae	198
AI2846	v1	kpneumoniae	45
AI2847	v1	kpneumoniae	307
AI2848	v1	kpneumoniae	1083
AI2849	v1	kpneumoniae	147
AI2850	v1	kpneumoniae	151
AI2851	v1	kpneumoniae	152
AI2852	v1	ecoli	10
AI2853	v1	ecoli	10
AI2854	v1	kpneumoniae	152
AI2855	v1	kpneumoniae	147
AI2856	v1	kpneumoniae	147
AI2857	v1		
AI2858	v1	ecoli	648
AI2859	v1	ecloacae	133
AI2860	v1	ecoli	602
AI2861	v1	kpneumoniae	11
AI2862	v1	kpneumoniae	405
AI2863	v1	kpneumoniae	307
AI2865	v1	ecloacae	108
AI2866	v1	ecloacae	90
AI2867	v1	kpneumoniae	39
AI2868	v1	kpneumoniae	307
AI2870	v1	kpneumoniae	11
AI2871	v1	kpneumoniae	11
AI2872	v1		
AI2873	v1	kpneumoniae	11
AI2874	v1	kpneumoniae	11
AI2875	v1	kpneumoniae	11
AI2876	v1	kpneumoniae	11
AI2877	v1	kpneumoniae	11
AI2878	v1	kpneumoniae	11
AI2879	v1	kpneumoniae	11
AI2880	v1	kpneumoniae	101
AI2882	v1	kpneumoniae	307
AI2883	v1	kpneumoniae	307
AI2884	v1		
AI2885	v1	kpneumoniae	307
AI2886	v1	kpneumoniae	15
AI2887	v1		
AI2888	v1	kpneumoniae	15
AI2889	v1	kpneumoniae	307
AI2890	v1	ecoli	538
AI2891	v1	kpneumoniae	11
AI2892	v1	kpneumoniae	11
AI2893	v1	kpneumoniae	45
AI2894	v1	ecoli	58
AI2895	v1	kpneumoniae	11
AI2896	v1	kpneumoniae	307
AI2897	v1	kpneumoniae	11
AI2898	v1	kpneumoniae	101
AI2899	v1	ecoli	131
AI2900	v1	kpneumoniae	11
AI2901	v1	kpneumoniae	307
AI2902	v1	kpneumoniae	11
AI2903	v1	kpneumoniae	392
AI2904	v1	cronobacter	604
AI2905	v1	ecloacae	732
AI2906	v1	kpneumoniae	392
AI2907	v1	kpneumoniae	-
AI2908	v1	kpneumoniae	39
AI2909	v1	kpneumoniae	11
AI2910	v1	kpneumoniae	11
AI2911	v1	kpneumoniae	392
AI2912	v1	kpneumoniae	392
AI2913	v1	kaerogenes	57
AI2914	v1	kpneumoniae	11
AI2915	v1	ecloacae	114
AI2916	v1	ecloacae	732
AI2917	v1	kpneumoniae	392
AI2918	v1	koxytoca	36
AI2919	v1	kpneumoniae	11
AI2920	v1	kpneumoniae	392
AI2921	v1	kpneumoniae	405
AI2922	v1	kpneumoniae	11
AI2923	v1	kpneumoniae	392
AI2924	v1	ecloacae	114
AI2925	v1	kpneumoniae	340
AI2926	v1	kpneumoniae	11
AI2927	v1	kpneumoniae	392
AI2928	v1	ecoli	10
AI2929	v1	kpneumoniae	392
AI2930	v1	kpneumoniae	307
AI2931	v1	kpneumoniae	392
AI2932	v1	kpneumoniae	392
AI2934	v1	kpneumoniae	395
AI2935	v1	cfreundii	112
AI2936	v1	ecloacae	78
AI2937	v1	koxytoca	-
AI2938	v1	ecoli	127
AI2939	v1	ecloacae	133
AI2940	v1	kpneumoniae	258
AI2941	v1	ecloacae	1074
AI2942	v1	kpneumoniae	326
AI2943	v1	koxytoca	-
AI2945	v1	koxytoca	101
AI2946	v1	koxytoca	101
AI2949	v1	ecoli	131
AI2950	v1	ecloacae	66
AI2951	v1	ecoli	131
AI2952	v1	kpneumoniae	326
AI2953	v1	kpneumoniae	307
AI2954	v1	kpneumoniae	11
AI2957	v1	kpneumoniae	307
AI2958	v1	kpneumoniae	11
AI2959	v1	ecoli	68
AI2960	v1	kpneumoniae	307
AI2961	v1	kpneumoniae	307
AI2962	v1	kpneumoniae	307
AI2963	v1	ecoli	131
AI2964	v1	ecloacae	171
AI2965	v1	kpneumoniae	307
AI2966	v1	kpneumoniae	307
AI2967	v1	kpneumoniae	405
AI2968	v1	kpneumoniae	307
AI2969	v1	kpneumoniae	307
AI2970	v1	kpneumoniae	307
AI2971	v1	kpneumoniae	11
AI2972	v1	ecloacae	114
AI2973	v2	kpneumoniae	11
AI2974	v1	kpneumoniae	-
AI2975	v1	kpneumoniae	307
AI2976	v1	kpneumoniae	307
AI2977	v1	kpneumoniae	11
AI2978	v1	ecoli	131
AI2979	v1	kpneumoniae	1961
AI2980	v2	kpneumoniae	1961
AI2981	v1	ecoli	10
AI2982	v1	kpneumoniae	1961
AI2983	v1	ecloacae	-
AI2984	v2	ecloacae	515
AI2985	v1	kpneumoniae	1961
AI2989	v1	kpneumoniae	11
AI2991	v1	koxytoca	36
AI2992	v1	ecloacae	96
AI2993	v1	kpneumoniae	147
AI2994	v1	ecoli	-
AI2996	v1	kpneumoniae	147
AI2998	v1	kpneumoniae	147
AI2999	v1	ecloacae	-
AI3000	v1	kpneumoniae	147
AI3001	v1	kpneumoniae	307
AI3002	v1	kpneumoniae	307
AI3003	v1	kpneumoniae	307
AI3004	v1	kpneumoniae	307
AI3006	v1	kpneumoniae	307
AI3007	v1	kpneumoniae	101
AI3008	v1	kpneumoniae	101
AI3009	v1	kpneumoniae	307
AI3010	v1	kpneumoniae	-
AI3011	v1	kpneumoniae	13
AI3012	v1	koxytoca	2
AI3013	v2	ecloacae	764
AI3018	v1	kpneumoniae	15
AI3021	v1	kpneumoniae	15
AI3023	v1	kpneumoniae	15
AI3024	v1	kpneumoniae	15
AI3025	v1	kpneumoniae	15
AI3027	v1	kpneumoniae	3362
AI3028	v1	kpneumoniae	392
AI3030	v1	kpneumoniae	307
AI3031	v1	kpneumoniae	307
AI3034	v1	kpneumoniae	-
AI3035	v1	kpneumoniae	147
AI3036	v1	kpneumoniae	326
AI3037	v1	kpneumoniae	147
AI3038	v1	ecloacae	171
AI3039	v1	kpneumoniae	307
AI3040	v1	kpneumoniae	307
AI3041	v1	kpneumoniae	307
AI3042	v1	kpneumoniae	11
AI3043	v1	kpneumoniae	11
AI3044	v1	kpneumoniae	101
AI3045	v2	ecloacae	96
AI3046	v2	kpneumoniae	512
AI3047	v1	kpneumoniae	11
AI3048	v1	kpneumoniae	11
AI3049	v1	kpneumoniae	101
AI3050	v1	ecloacae	-
AI3051	v1	kpneumoniae	11
AI3052	v1	kpneumoniae	11
AI3053	v1	kpneumoniae	11
AI3054	v1	kpneumoniae	11
AI3055	v1	kpneumoniae	1962
AI3056	v1	kpneumoniae	1961
AI3057	v1	cfreundii	-
AI3058	v1	cfreundii	-
AI3059	v2	cfreundii	22
AI3060	v1	kpneumoniae	1961
AI3062	v1	kpneumoniae	-
AI3063	v1	kpneumoniae	-
AI3064	v2	kpneumoniae	307
AI3065	v1	kpneumoniae	147
AI3067	v1	kpneumoniae	15
AI3069	v1	kpneumoniae	307
AI3070	v1	kpneumoniae	15
AI3071	v1	kpneumoniae	15
AN2335	v1	kpneumoniae	1881
AN2336	v1	koxytoca	27
AN2337	v1	kpneumoniae	147
AN2338	v1	kpneumoniae	512
AN2339	v1	kpneumoniae	258
AN2340	v1	kpneumoniae	2295
AN2341	v1	kpneumoniae	-
AN2342	v1	kpneumoniae	147
AN2343	v1	kpneumoniae	405
AN2344	v1	kpneumoniae	15
AN2345	v1	kpneumoniae	11
AN2346	v1	kpneumoniae	551
AN2347	v1	kpneumoniae	307
AN2349	v1	kpneumoniae	392
AN2350	v1	kpneumoniae	15
AN2351	v1	cronobacter	-
AN2352	v1	kpneumoniae	147
AN2353	v1	senterica	-
AN2354	v1	kpneumoniae	15
AN2355	v1	kpneumoniae	307
AN2356	v1	kpneumoniae	15
AN2357	v1	kpneumoniae	15
AN2358	v1	kpneumoniae	15
AN2360	v1	ecloacae	93
AN2361	v1	kpneumoniae	15
AN2362	v1	kpneumoniae	11
AN2363	v1	koxytoca	-
AN2364	v1	ecloacae	168
