Query genome	Reference genome	ANI_tw	AF
AI2585_v1_c3	AI2886_v1_c3	99.993	100.00
AI2585_v1_c3	AI2916_v1_c6	99.998	100.00
AI2585_v1_c3	AI2950_v1_c3	99.959	100.00
AI2585_v1_c3	AN2345_v1_c3	99.759	100.00
AI2586_v1_c2	AI2587_v1_c2	99.999	100.00
AI2586_v1_c2	AI2871_v1_c2	99.998	100.00
AI2586_v1_c2	AI2889_v1_c2	98.779	86.8401930248
AI2586_v1_c2	AI2921_v1_c2	98.668	82.7700745778
AI2586_v1_c2	AI2977_v1_c2	99.996	88.2107238429
AI2586_v1_c2	AI3011_v1_c2	99.970	83.2634766396
AI2586_v1_c3	AI2698_v1_c2	99.961	100.00
AI2586_v1_c3	AI2782_v5_c3	99.991	100.00
AI2586_v1_c3	AI2942_v1_c3	99.959	100.00
AI2586_v1_c3	AN2342_v1_c4	99.774	100.00
AI2587_v1_c2	AH0330_v1_c3	98.982	55.8690601039
AI2587_v1_c2	AI2605_v1_c2	99.999	100.00
AI2587_v1_c2	AI2644_v1_c2	98.973	75.2293964878
AI2587_v1_c2	AI2953_v1_c2	98.497	71.0327825872
AI2587_v1_c2	AI2971_v1_c2	99.996	100.00
AI2587_v1_c3	AI2594_v1_c4	98.820	58.7118961864
AI2587_v1_c3	AI3042_v1_c3	99.861	100.00
AI2587_v1_c3	AN2360_v1_c2	98.843	100.00
AI2588_v1_c2	AI2638_v1_c2	99.746	89.5882975085
AI2588_v1_c2	AN2338_v1_c2	99.863	100.00
AI2588_v1_c2	AN2350_v1_c2	99.689	71.48543234
AI2588_v1_c3	AI2651_v1_c3	99.942	100.00
AI2588_v1_c3	AI2811_v1_c2	99.853	99.7537774846
AI2588_v1_c3	AI2854_v1_c2	95.624	50.5407255937
AI2588_v1_c3	AI2909_v1_c2	97.406	52.4308135444
AI2588_v1_c3	AI2961_v1_c3	96.624	54.106055409
AI2588_v1_c3	AI3041_v1_c2	96.436	52.9082585752
AI2588_v1_c4	AI2814_v1_c4	99.990	100.00
AI2589_v1_c2	AI2587_v1_c2	100.000	100.00
AI2589_v1_c2	AI2608_v2_c2	98.136	71.7347726588
AI2589_v1_c2	AI2628_v1_c2	99.578	95.7409756098
AI2589_v1_c2	AI2749_v1_c2	99.922	100.00
AI2589_v1_c2	AI2921_v1_c2	98.497	91.612878651
AI2589_v1_c2	AI2960_v1_c3	98.426	94.3482053598
AI2589_v1_c2	AI2976_v1_c3	98.521	98.5254862993
AI2589_v1_c2	AI3041_v1_c2	98.554	99.3087955435
AI2590_v1_c2	AI2586_v1_c2	99.999	100.00
AI2590_v1_c2	AI2612_v1_c2	99.652	100.00
AI2590_v1_c2	AI2633_v1_c2	99.998	100.00
AI2590_v1_c2	AI2741_v1_c2	99.999	100.00
AI2590_v1_c2	AI2777_v1_c3	98.860	91.3413867426
AI2590_v1_c2	AI2842_v1_c2	97.774	88.1541520943
AI2590_v1_c2	AI2895_v1_c2	99.996	100.00
AI2590_v1_c2	AI2913_v1_c2	98.681	100.00
AI2590_v1_c2	AI2967_v1_c2	99.080	96.3048962993
AI2590_v1_c2	AI3051_v1_c2	99.997	100.00
AI2590_v1_c2	AN2345_v1_c2	97.989	60.1385807239
AI2590_v1_c2	AN2362_v1_c2	98.778	63.3679991867
AI2590_v1_c3	AI2597_v5_c4	99.921	100.00
AI2590_v1_c3	AI2623_v1_c2	98.649	53.2582358674
AI2591_v1_c2	AI2590_v1_c2	99.999	63.8774554651
AI2591_v1_c2	AI2647_v1_c2	98.741	71.8848779415
AI2591_v1_c2	AI2787_v1_c3	98.234	59.9954497471
AI2591_v1_c2	AI2878_v1_c2	99.913	77.2494084011
AI2591_v1_c2	AI2895_v1_c2	99.994	89.480523422
AI2591_v1_c2	AI2913_v1_c2	98.247	70.9222036508
AI2591_v1_c3	AI2641_v1_c2	93.557	80.3040273973
AI2591_v1_c4	AI2608_v2_c2	98.679	50.4065786901
AI2591_v1_c4	AI2667_v1_c3	99.632	82.2722091887
AI2591_v1_c4	AI2768_v1_c3	99.401	68.3542815249
AI2591_v1_c4	AI2874_v1_c4	99.963	100.00
AI2591_v1_c4	AI2962_v1_c3	98.890	100.00
AI2591_v1_c4	AI3043_v5_c3	99.815	100.00
AI2592_v1_c2	AI2635_v1_c2	99.646	90.4679738996
AI2592_v1_c2	AI2756_v1_c2	98.924	72.3283034727
AI2592_v1_c2	AI2932_v1_c2	99.708	100.00
AI2592_v1_c2	AI2952_v1_c2	98.782	68.7372262774
AI2592_v1_c2	AI2969_v1_c3	99.960	100.00
AI2592_v1_c2	AN2344_v1_c2	98.786	74.4506879009
AI2592_v1_c3	AI2677_v1_c3	99.997	100.00
AI2592_v1_c3	AI2776_v1_c3	99.998	100.00
AI2592_v1_c3	AI2863_v1_c3	99.996	100.00
AI2592_v1_c3	AI2951_v1_c4	99.997	100.00
AI2592_v1_c3	AI2974_v1_c4	99.996	100.00
AI2593_v1_c2	AI2691_v1_c2	98.303	57.3870777118
AI2593_v1_c2	AI2841_v1_c2	98.083	89.6496492175
AI2593_v1_c3	AI2834_v1_c4	99.813	100.00
AI2593_v1_c3	AI2856_v1_c4	99.998	100.00
AI2593_v1_c3	AI2887_v1_c2	99.996	100.00
AI2593_v1_c3	AI2942_v1_c3	99.959	100.00
AI2593_v1_c3	AI3040_v1_c3	99.998	100.00
AI2593_v1_c3	AN2361_v1_c3	99.811	100.00
AI2594_v1_c2	AI2606_v1_c3	99.083	67.6088447205
AI2594_v1_c2	AI2631_v5_c2	97.789	53.4944695652
AI2594_v1_c2	AI2650_v1_c2	98.883	78.5775130435
AI2594_v1_c2	AI2892_v1_c2	97.805	68.8596347826
AI2594_v1_c2	AN2346_v1_c2	99.189	66.7493714286
AI2594_v1_c4	AI2958_v1_c2	98.857	67.5265693431
AI2594_v1_c4	AI2974_v1_c3	99.660	100.00
AI2594_v1_c5	AI2618_v1_c2	99.978	63.0393637078
AI2594_v1_c5	AI2680_v1_c5	99.958	100.00
AI2594_v1_c5	AI2755_v2_c3	99.989	100.00
AI2594_v1_c5	AI2791_v1_c4	99.991	100.00
AI2594_v1_c5	AI2968_v1_c3	99.995	51.9059780047
AI2594_v1_c5	AI3000_v1_c4	99.996	100.00
AI2594_v1_c5	AI3036_v1_c4	99.946	100.00
AI2594_v1_c6	AI3065_v1_c4	97.463	88.2506296296
AI2595_v1_c2	AI2596_v1_c2	98.754	59.3482449629
AI2595_v1_c2	AI2699_v1_c2	98.934	76.851121421
AI2595_v1_c2	AI2751_v1_c2	98.706	68.4381972428
AI2595_v1_c2	AI2908_v1_c2	99.617	68.1761850477
AI2595_v1_c2	AI3040_v1_c2	99.996	100.00
AI2595_v1_c2	AI3069_v1_c3	99.709	100.00
AI2595_v1_c2	AN2343_v1_c2	99.508	100.00
AI2595_v1_c4	AI2624_v1_c3	99.996	84.7016288175
AI2595_v1_c4	AI2689_v1_c3	99.962	100.00
AI2595_v1_c4	AI2907_v1_c3	99.998	100.00
AI2595_v1_c4	AI2935_v1_c5	99.998	100.00
AI2595_v1_c4	AI2972_v1_c3	99.976	100.00
AI2595_v1_c4	AI3011_v1_c3	99.997	92.3170399374
AI2595_v1_c4	AI3062_v1_c3	99.990	70.8608144088
AI2595_v1_c4	AN2353_v1_c2	99.748	100.00
AI2596_v1_c2	AI2588_v1_c2	99.820	91.7611430396
AI2596_v1_c2	AI2810_v1_c2	99.832	91.3442209451
AI2596_v1_c2	AI3062_v1_c2	99.953	100.00
AI2596_v1_c2	AN2354_v1_c2	99.237	82.4713473819
AI2597_v5_c2	AI2639_v1_c2	98.210	74.8942177914
AI2597_v5_c2	AI2930_v1_c2	98.374	62.9553001753
AI2597_v5_c2	AI3064_v2_c2	98.303	76.2618536372
AI2597_v5_c3	AI3009_v1_c2	93.461	81.7957594502
AI2597_v5_c4	AI2681_v1_c4	98.962	64.9347862454
AI2597_v5_c4	AI2745_v1_c3	99.976	100.00
AI2597_v5_c4	AI2761_v1_c3	99.894	100.00
AI2597_v5_c4	AI2868_v1_c2	98.091	62.5793773234
AI2597_v5_c4	AI3036_v1_c3	98.901	100.00
AI2599_v1_c2	AI2750_v1_c2	98.585	70.3347565865
AI2599_v1_c2	AI2840_v1_c3	99.986	100.00
AI2599_v1_c2	AI2953_v1_c2	99.987	100.00
AI2599_v1_c2	AI2970_v1_c3	99.720	100.00
AI2599_v1_c2	AI2989_v1_c2	98.547	76.0372394044
AI2599_v1_c2	AI3007_v1_c2	98.375	79.6265721649
AI2599_v1_c3	AI2681_v1_c3	99.968	100.00
AI2599_v1_c3	AI2794_v1_c4	99.994	100.00
AI2599_v1_c3	AI2964_v1_c2	99.966	100.00
AI2599_v1_c3	AI3035_v5_c4	99.964	100.00
AI2600_v1_c2	AI2587_v1_c2	98.614	54.8643754972
AI2600_v1_c2	AI2608_v2_c2	99.719	100.00
AI2600_v1_c2	AI2706_v1_c2	98.391	59.3964651286
AI2600_v1_c2	AI3044_v1_c2	98.853	54.4646141607
AI2600_v1_c3	AI2820_v1_c3	98.112	82.4469891989
AI2600_v1_c4	AI2636_v1_c4	99.996	90.6361080658
AI2600_v1_c4	AI2697_v1_c2	99.934	100.00
AI2600_v1_c4	AI2844_v1_c4	99.994	100.00
AI2600_v1_c4	AI2945_v1_c2	99.978	100.00
AI2600_v1_c4	AI2976_v1_c4	99.996	100.00
AI2600_v1_c4	AI3067_v1_c7	99.992	100.00
AI2601_v1_c2	AI2596_v1_c2	99.976	100.00
AI2601_v1_c2	AI2636_v1_c3	98.187	50.5396394019
AI2601_v1_c2	AI3063_v1_c2	99.947	100.00
AI2602_v1_c2	AI2868_v1_c2	98.355	50.8776531165
AI2602_v1_c3	AI3057_v1_c3	99.996	100.00
AI2603_v1_c2	AI2600_v1_c2	98.623	52.1997325199
AI2603_v1_c2	AI2640_v1_c3	98.396	53.5974495542
AI2603_v1_c2	AI2653_v1_c2	98.775	76.0845964336
AI2603_v1_c2	AI2896_v1_c2	99.232	93.9532473017
AI2603_v1_c2	AI2914_v1_c3	99.998	83.2173744721
AI2603_v1_c3	AI2764_v1_c4	99.229	58.9944306931
AI2603_v1_c3	AI2849_v1_c5	99.276	63.4264975248
AI2603_v1_c3	AI2871_v1_c4	99.495	100.00
AI2603_v1_c3	AI3039_v1_c3	97.748	100.00
AI2604_v1_c2	AI2649_v1_c2	98.508	84.5078804726
AI2604_v1_c2	AI2669_v1_c3	99.114	86.4755211953
AI2604_v1_c2	AI2776_v1_c2	99.288	50.4985684503
AI2604_v1_c2	AI2806_v1_c2	99.809	100.00
AI2604_v1_c2	AI2868_v1_c2	98.608	88.3190410007
AI2604_v1_c2	AI2968_v1_c3	98.002	66.8552258513
AI2604_v1_c3	AI2586_v1_c2	99.985	81.926219456
AI2604_v1_c3	AI2612_v1_c3	99.080	52.0076671277
AI2604_v1_c3	AI2633_v1_c2	99.983	80.9201106501
AI2604_v1_c3	AI2664_v1_c2	98.600	61.9061964039
AI2604_v1_c3	AI2748_v1_c2	99.979	70.993526971
AI2604_v1_c3	AI2825_v1_c4	99.478	56.5936422314
AI2604_v1_c3	AI2878_v1_c4	99.912	68.5166436146
AI2604_v1_c3	AI3052_v1_c2	99.978	82.229396035
AI2605_v1_c2	AI2644_v1_c2	98.840	64.6093182318
AI2605_v1_c2	AI2863_v1_c2	98.753	73.6088893776
AI2605_v1_c2	AI2883_v1_c2	98.791	72.7566527381
AI2605_v1_c2	AI2954_v5_c2	99.999	88.1215790631
AI2605_v1_c2	AI3031_v1_c2	98.747	79.5422520343
AI2606_v1_c3	AI2675_v1_c2	98.328	69.5279579397
AI2606_v1_c3	AI2753_v1_c2	98.455	77.4935964645
AI2606_v1_c3	AI2954_v5_c2	98.458	77.9838646754
AI2606_v1_c3	AI3034_v1_c2	99.724	69.4475800061
AI2606_v1_c3	AI3062_v1_c2	98.260	81.7667601341
AI2606_v1_c3	AN2355_v1_c2	99.554	100.00
AI2606_v1_c4	AI2674_v1_c4	99.972	100.00
AI2606_v1_c4	AI2752_v1_c3	99.992	100.00
AI2606_v1_c4	AI2775_v1_c4	99.998	100.00
AI2606_v1_c4	AI2902_v1_c3	99.998	100.00
AI2606_v1_c4	AI2975_v1_c3	99.996	100.00
AI2606_v1_c4	AI3002_v1_c4	99.994	100.00
AI2606_v1_c4	AI3028_v1_c3	100.000	100.00
AI2607_v1_c2	AI2752_v1_c2	98.447	74.3488481524
AI2607_v1_c2	AI2962_v1_c3	99.753	100.00
AI2607_v1_c2	AI3053_v1_c2	98.113	76.8598152425
AI2607_v1_c3	AI2929_v1_c4	100.000	100.00
AI2607_v1_c3	AI3004_v1_c4	99.994	100.00
AI2608_v2_c2	AI2592_v1_c2	99.687	95.9617731221
AI2608_v2_c2	AI2709_v1_c2	97.788	51.8677286663
AI2608_v2_c2	AI2761_v1_c2	98.431	65.4341083291
AI2608_v2_c2	AI2777_v1_c3	99.973	100.00
AI2608_v2_c2	AI2896_v1_c2	98.097	71.293962698
AI2608_v2_c3	AI2775_v1_c5	97.583	89.1098888889
AI2608_v2_c3	AI3000_v1_c5	96.906	84.2092407407
AI2608_v2_c3	AI3065_v1_c4	97.818	88.7395185185
AI2609_v1_c2	AI2622_v1_c4	99.984	63.7044936284
AI2609_v1_c2	AI2668_v1_c5	99.941	85.0112676056
AI2609_v1_c2	AI2688_v1_c5	99.941	86.2178739101
AI2609_v1_c2	AI2752_v1_c3	99.980	87.6234607646
AI2609_v1_c2	AI2834_v1_c4	99.773	74.237813548
AI2609_v1_c2	AI2953_v1_c3	99.939	88.3442857143
AI2609_v1_c2	AI3039_v1_c4	99.982	88.7633333333
AI2609_v1_c2	AN2361_v1_c3	99.716	81.9186519115
AI2610_v1_c2	AI2596_v1_c2	99.998	100.00
AI2610_v1_c2	AI2639_v1_c2	98.295	81.3964844137
AI2610_v1_c2	AI2675_v1_c2	99.535	96.9054502721
AI2610_v1_c2	AI2740_v1_c2	99.996	100.00
AI2610_v1_c2	AI2960_v1_c3	98.829	89.8985353785
AI2610_v1_c2	AI2976_v1_c3	98.813	93.6415932707
AI2610_v1_c2	AN2346_v1_c2	98.660	72.0619371598
AI2610_v1_c3	AI2604_v1_c3	99.920	100.00
AI2610_v1_c3	AI2743_v1_c4	99.969	100.00
AI2610_v1_c3	AI2761_v1_c3	99.875	100.00
AI2610_v1_c3	AI2919_v1_c4	99.915	100.00
AI2610_v1_c3	AI2996_v1_c3	99.128	85.815666218
AI2610_v1_c3	AI3049_v1_c2	99.151	100.00
AI2612_v1_c2	AI2583_v1_c2	99.230	81.9863619696
AI2612_v1_c2	AI2608_v2_c2	98.577	62.0404531168
AI2612_v1_c2	AI2646_v1_c2	98.765	64.3214012572
AI2612_v1_c2	AI2908_v1_c2	99.679	50.9727370351
AI2612_v1_c2	AI2976_v1_c3	98.790	82.7456966998
AI2612_v1_c2	AI3064_v2_c2	98.505	70.1155657412
AI2612_v1_c2	AN2341_v1_c6	98.728	61.5668517548
AI2612_v1_c3	AI2591_v1_c2	99.448	53.1173215414
AI2612_v1_c3	AI2671_v1_c3	99.832	88.6884965256
AI2612_v1_c3	AI2958_v1_c2	99.449	78.9214718888
AI2612_v1_c3	AI2974_v1_c3	99.274	89.5095072647
AI2612_v1_c4	AI2640_v1_c4	99.994	90.5148970252
AI2612_v1_c4	AI2789_v1_c3	99.768	100.00
AI2612_v1_c4	AI2851_v1_c4	99.775	100.00
AI2612_v1_c4	AI2875_v1_c3	99.724	100.00
AI2612_v1_c4	AI2929_v1_c4	99.731	100.00
AI2612_v1_c4	AI2962_v1_c4	99.773	100.00
AI2612_v1_c4	AI3018_v1_c5	99.772	100.00
AI2612_v1_c4	AN2353_v1_c2	99.993	100.00
AI2613_v1_c2	AI2799_v1_c2	99.637	87.5920381637
AI2613_v1_c2	AN2360_v1_c2	99.994	100.00
AI2613_v1_c3	AI3013_v2_c3	99.544	76.2675
AI2614_v1_c2	AI2624_v1_c2	99.963	70.8763555858
AI2614_v1_c3	AI2844_v1_c2	95.382	51.9461673908
AI2615_v1_c2	AI2799_v1_c3	96.961	79.3785807292
AI2616_v1_c2	AI2670_v1_c3	99.938	91.6690805417
AI2616_v1_c2	AI2688_v1_c5	99.938	92.3090734141
AI2616_v1_c2	AI2782_v5_c3	99.973	92.1665217391
AI2616_v1_c2	AI2825_v1_c3	99.979	93.2356593015
AI2616_v1_c2	AI2865_v1_c3	99.973	100.00
AI2616_v1_c2	AI2907_v1_c3	99.978	94.9448538845
AI2616_v1_c2	AI2924_v1_c3	99.980	95.301233072
AI2616_v1_c2	AI2945_v1_c2	99.954	100.00
AI2616_v1_c2	AI3034_v1_c3	99.948	95.5553243051
AI2616_v1_c2	AN2336_v5_c4	99.936	95.4318104063
AI2617_v1_c3	AI2672_v1_c3	99.949	81.5573064821
AI2617_v1_c3	AI2693_v1_c3	99.954	81.6807929515
AI2617_v1_c3	AI2799_v1_c4	99.981	82.0609376967
AI2617_v1_c3	AI2916_v1_c6	99.981	84.4498300818
AI2617_v1_c3	AI2960_v1_c4	99.982	83.8846947766
AI2617_v1_c3	AN2343_v1_c4	99.769	77.2760855884
AI2618_v1_c2	AI2617_v1_c3	100.000	68.3456436364
AI2618_v1_c2	AI2892_v1_c4	99.981	97.0008363636
AI2618_v1_c2	AI2911_v1_c4	99.977	96.2735636364
AI2618_v1_c2	AI2952_v1_c3	99.937	96.6916
AI2618_v1_c2	AI2994_v1_c3	99.983	96.7110909091
AI2618_v1_c2	AI3038_v1_c2	99.940	97.1294181818
AI2618_v1_c2	AN2341_v1_c10	99.974	58.6789309091
AI2618_v1_c2	AN2357_v1_c3	99.668	89.2167709091
AI2620_v1_c2	AI2619_v1_c2	99.941	98.8113758681
AI2620_v1_c3	AI3040_v1_c2	99.421	69.521577165
AI2620_v1_c4	AI2674_v1_c2	99.849	65.2729254202
AI2620_v1_c5	AI2672_v1_c3	98.367	73.9676049869
AI2620_v1_c5	AI2764_v1_c5	98.299	52.9168766404
AI2620_v1_c5	AI2853_v1_c4	98.376	75.0340813648
AI2620_v1_c5	AI2872_v1_c2	98.367	75.0396587927
AI2620_v1_c5	AI2911_v1_c4	98.360	74.6908530184
AI2620_v1_c5	AI2953_v1_c3	98.500	74.7157742782
AI2620_v1_c5	AI2972_v1_c3	98.576	90.0350262467
AI2621_v1_c3	AI2665_v1_c3	97.330	58.9642028986
AI2621_v1_c3	AI2761_v1_c2	96.613	53.0187060041
AI2621_v1_c3	AI2812_v1_c2	97.076	61.291863354
AI2621_v1_c3	AI2922_v1_c2	96.613	55.0425310559
AI2621_v1_c3	AI3004_v1_c3	97.150	64.6647774327
AI2621_v1_c4	AI2789_v1_c3	99.773	100.00
AI2621_v1_c4	AI2850_v1_c5	99.715	100.00
AI2621_v1_c4	AI2874_v1_c3	99.726	100.00
AI2621_v1_c4	AI2927_v1_c3	99.729	100.00
AI2621_v1_c4	AI2961_v1_c4	99.706	100.00
AI2621_v1_c4	AI2989_v1_c3	99.721	100.00
AI2621_v1_c4	AI3071_v1_c2	100.000	100.00
AI2622_v1_c2	AI2707_v1_c2	98.716	59.0592298387
AI2622_v1_c2	AI2816_v1_c2	98.574	64.5019112903
AI2622_v1_c2	AI2895_v1_c2	98.790	58.5479697581
AI2622_v1_c2	AN2347_v1_c2	99.991	100.00
AI2622_v1_c3	AH0327_v1_c2	98.241	100.00
AI2622_v1_c3	AI2640_v1_c2	98.244	100.00
AI2622_v1_c4	AI2641_v1_c4	99.715	85.758917609
AI2622_v1_c4	AI2776_v1_c3	100.000	100.00
AI2622_v1_c4	AI2822_v1_c2	99.998	100.00
AI2622_v1_c4	AI2894_v1_c3	99.998	100.00
AI2622_v1_c4	AI2994_v1_c3	100.000	100.00
AI2622_v1_c4	AI3036_v1_c4	99.985	100.00
AI2622_v1_c4	AN2363_v1_c2	99.994	100.00
AI2623_v1_c2	AI2638_v1_c2	98.605	60.4126775848
AI2623_v1_c2	AI2665_v1_c3	99.335	61.1974723757
AI2623_v1_c2	AI2742_v1_c2	98.839	65.9750966851
AI2623_v1_c2	AI2868_v1_c2	99.977	100.00
AI2623_v1_c2	AI2888_v1_c2	98.850	60.6621507498
AI2623_v1_c2	AI2919_v1_c3	98.464	63.4445382794
AI2623_v1_c2	AI2989_v1_c2	98.937	72.346375296
AI2623_v1_c2	AI3024_v1_c2	98.730	75.2066850829
AI2623_v1_c2	AN2361_v1_c2	98.676	63.5343212313
AI2623_v1_c3	AI2618_v1_c2	99.983	58.5253120464
AI2623_v1_c3	AI2679_v1_c4	99.959	100.00
AI2623_v1_c3	AI2763_v1_c5	100.000	84.9938026125
AI2623_v1_c3	AI2828_v5_c3	99.983	89.9742960813
