file_id	-	total_length	rep_type	relaxase_type	mpf_type	orit_type	PredictedMobility
AH0329_v1_c4	G12	2927	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AH0330_v1_c1	-	5473455	-	-	MPF_T	-	Non-mobilizable
AH0330_v1_c2	G1	170150	IncFII,IncR,IncFII	MOBF	MPF_F	-	Conjugative
AH0330_v1_c3	G1	158474	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AH0330_v1_c4	G1	65015	IncL/M	MOBP	MPF_I	-	Conjugative
AH0330_v1_c5	G13	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AH0330_v1_c6	G14	1552	ColRNAI_rep_cluster_1885	-	-	MOB_unknown	Mobilizable
AH0331_v1_c1	-	5334698	-	-	MPF_T	-	Non-mobilizable
AH0331_v1_c2	G1	211840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AH0331_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AH0331_v1_c4	G15	56107	rep_cluster_3	-	-	-	Non-mobilizable
AI2583_v1_c1	-	5406999	-	-	MPF_T	-	Non-mobilizable
AI2583_v1_c2	G1	178106	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2583_v1_c3	G1	51133	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative
AI2584_v1_c1	-	5402963	-	-	MPF_T	-	Non-mobilizable
AI2584_v1_c2	G1	208817	IncFIB,IncFIA,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2584_v1_c3	G1	64366	IncL/M	MOBP	MPF_I	-	Conjugative
AI2584_v1_c4	G16	2927	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2585_v1_c1	-	5536953	-	-	MPF_T	-	Non-mobilizable
AI2585_v1_c2	G1	247179	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2585_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2585_v1_c4	G17	38000	IncN	-	MPF_T	-	Non-mobilizable
AI2585_v1_c5	G18	8262	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AI2585_v1_c6	G19	1552	ColRNAI_rep_cluster_1885	-	-	MOB_unknown	Mobilizable
AI2586_v1_c1	-	5150189	-	-	MPF_T	-	Non-mobilizable
AI2586_v1_c2	G1	227897	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2586_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2587_v1_c1	-	5385190	-	-	MPF_T	-	Non-mobilizable
AI2587_v1_c2	G1	202067	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2587_v1_c3	G1	47164	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative
AI2588_v1_c1	-	5439553	-	-	-	-	Non-mobilizable
AI2588_v1_c2	G1	204647	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2588_v1_c3	G1	113639	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2588_v1_c4	G1	13636	ColRNAI_rep_cluster_1857	-	-	-	Non-mobilizable
AI2589_v1_c1	-	5381751	-	-	MPF_T	-	Non-mobilizable
AI2589_v1_c2	G1	165967	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2590_v1_c1	-	5387974	-	-	MPF_T	-	Non-mobilizable
AI2590_v1_c2	G1	122898	IncFIB	-	MPF_F	-	Non-mobilizable
AI2590_v1_c3	G1	51265	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative
AI2591_v1_c1	-	5376793	-	-	MPF_T	-	Non-mobilizable
AI2591_v1_c2	G1	227315	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2591_v1_c3	G1	219000	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2591_v1_c4	G1	51097	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative
AI2592_v1_c1	-	5457247	-	-	MPF_T	-	Non-mobilizable
AI2592_v1_c2	G1	225970	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2592_v1_c3	G1	59806	IncL/M	MOBP	MPF_I	-	Conjugative
AI2592_v1_c4	G20	8262	ColRNAI_rep_cluster_1857	MOBP,MOBP	-	MOBP	Mobilizable
AI2592_v1_c5	G21	1552	ColRNAI_rep_cluster_1885	-	-	MOB_unknown	Mobilizable
AI2593_v1_c1	-	5232703	-	-	-	-	Non-mobilizable
AI2593_v1_c2	G1	185245	IncFIB,rep_cluster_1150	-	-	-	Non-mobilizable
AI2593_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2593_v1_c4	G22	2317	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
AI2594_v1_c1	-	5206222	-	-	-	-	Non-mobilizable
AI2594_v1_c2	G1	201175	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2594_v1_c3	G1	123571	IncI1	MOBP	MPF_I	MOBP	Conjugative
AI2594_v1_c4	G1	82171	rep_cluster_1418,IncR,IncFIA	-	-	-	Non-mobilizable
AI2594_v1_c5	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2594_v1_c6	G15	53928	rep_cluster_1	-	-	-	Non-mobilizable
AI2594_v1_c7	G24	3751	ColRNAI_rep_cluster_1291	MOBQ	-	-	Mobilizable
AI2595_v1_c1	-	5452120	-	-	MPF_T	-	Non-mobilizable
AI2595_v1_c2	G1	188579	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2595_v1_c3	G28	111043	IncFIB	-	-	-	Non-mobilizable
AI2595_v1_c4	G1	63779	IncL/M	MOBP	MPF_I	-	Conjugative
AI2596_v1_c1	-	5336543	-	-	-	-	Non-mobilizable
AI2596_v1_c2	G1	234882	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2596_v1_c3	G1	114791	IncI1	MOBP	MPF_I	MOBP	Conjugative
AI2597_v5_c1	-	5377465	-	-	MPF_T	-	Non-mobilizable
AI2597_v5_c2	G1	228143	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2597_v5_c3	G1	218223	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2597_v5_c4	G1	53791	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative
AI2598_v1_c1	-	5039657	-	MOBP,MOBP	-	-	Mobilizable
AI2598_v1_c2	G1	109001	IncFIIA,IncFIA,IncFII	MOBF	MPF_F	MOBF	Conjugative
AI2598_v1_c3	G25	4082	rep_cluster_1778	MOBQ	-	MOBQ,MOBQ	Mobilizable
AI2599_v1_c1	-	5460701	-	-	-	-	Non-mobilizable
AI2599_v1_c2	G1	174527	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2599_v1_c3	G1	66565	IncL/M	MOBP	MPF_I	-	Conjugative
AI2599_v1_c4	G26	2927	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2599_v1_c5	G27	2495	ColRNAI_rep_cluster_1987	-	-	MOB_unknown	Mobilizable
AI2600_v1_c1	-	5451483	-	-	MPF_T	-	Non-mobilizable
AI2600_v1_c2	G1	188493	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2600_v1_c3	G28	111043	IncFIB	-	-	-	Non-mobilizable
AI2600_v1_c4	G1	63779	IncL/M	MOBP	MPF_I	-	Conjugative
AI2601_v1_c1	-	5378340	-	-	MPF_T	-	Non-mobilizable
AI2601_v1_c2	G1	227377	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2601_v1_c3	G1	218218	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2601_v1_c4	G1	48462	IncX3	MOBP	MPF_T	-	Conjugative
AI2602_v1_c1	-	5066607	-	-	-	-	Non-mobilizable
AI2602_v1_c2	G1	92189	IncFIB	MOBC	MPF_T	-	Conjugative
AI2602_v1_c3	G1	38483	IncP,IncU	MOBP	-	-	Mobilizable
AI2603_v1_c1	-	5358733	-	-	MPF_T	-	Non-mobilizable
AI2603_v1_c2	G1	213041	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2603_v1_c3	G1	40343	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative
AI2604_v1_c1	-	5377889	-	-	MPF_T	-	Non-mobilizable
AI2604_v1_c2	G1	143831	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2604_v1_c3	G1	108400	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative
AI2605_v1_c1	-	5378012	-	-	MPF_T	-	Non-mobilizable
AI2605_v1_c2	G1	227302	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2606_v1_c1	-	4358712	-	-	-	-	Non-mobilizable
AI2606_v1_c2	-	1047116	-	-	-	-	Non-mobilizable
AI2606_v1_c3	G1	164038	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2606_v1_c4	G1	65499	IncL/M	MOBP	MPF_I	-	Conjugative
AI2606_v1_c5	G30	2927	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2606_v1_c6	G31	2495	ColRNAI_rep_cluster_1987	-	-	MOB_unknown	Mobilizable
AI2607_v1_c1	-	5390410	-	-	-	-	Non-mobilizable
AI2607_v1_c2	G1	173168	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2607_v1_c3	G1	65499	IncL/M	MOBP	MPF_I	-	Conjugative
AI2607_v1_c4	G32	2927	ColRNAI_rep_cluster_1857,rep_cluster_2050	-	-	-	Non-mobilizable
AI2607_v1_c5	G33	2495	ColRNAI_rep_cluster_1987	-	-	MOB_unknown	Mobilizable
AI2608_v2_c1	-	5378797	-	-	-	-	Non-mobilizable
AI2608_v2_c2	G1	195692	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2608_v2_c3	G15	53918	rep_cluster_1	-	-	-	Non-mobilizable
AI2608_v2_c4	G34	2927	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2608_v2_c5	G35	2495	ColRNAI_rep_cluster_1987	-	-	MOB_unknown	Mobilizable
AI2609_v1_c1	-	4861824	-	-	-	-	Non-mobilizable
AI2609_v1_c2	G1	74480	IncL/M	MOBP	MPF_I	-	Conjugative
AI2610_v1_c1	-	5397230	-	-	MPF_T	-	Non-mobilizable
AI2610_v1_c2	G1	202067	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2610_v1_c3	G1	37110	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative
AI2612_v1_c1	-	5342405	-	-	MPF_T	-	Non-mobilizable
AI2612_v1_c2	G1	190815	IncFII,IncFII,IncFIB	MOBF	MPF_F	-	Conjugative
AI2612_v1_c3	G1	79107	rep_cluster_1418,IncR	-	-	-	Non-mobilizable
AI2612_v1_c4	G1	65498	IncL/M	MOBP	MPF_I	-	Conjugative
AI2612_v1_c5	G1	11955	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2612_v1_c6	G36	2662	-	-	-	-	Non-mobilizable
AI2612_v1_c7	G37	681	-	-	-	-	Non-mobilizable
AI2613_v1_c1	-	4841052	-	-	-	-	Non-mobilizable
AI2613_v1_c2	G1	361588	IncH,rep_cluster_1088,rep_cluster_1254,IncR	MOBH,MOBP	MPF_F	MOBH	Conjugative
AI2613_v1_c3	G1	66143	IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2613_v1_c4	G38	4863	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2614_v1_c1	-	5905790	IncP	MOBP	MPF_T	-	Conjugative
AI2614_v1_c2	G1	293564	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
AI2614_v1_c3	G1	218602	IncFIB	MOBF	MPF_F	-	Conjugative
AI2614_v1_c4	G1	40441	IncP,IncU	MOBP	-	-	Mobilizable
AI2614_v1_c5	G1063	6641	-	-	-	-	Non-mobilizable
AI2614_v1_c6	G912	2969	ColRNAI_rep_cluster_1857	-	-	-	Non-mobilizable
AI2615_v1_c1	-	4740944	-	-	-	-	Non-mobilizable
AI2615_v1_c2	G28	115150	IncFIB	-	-	-	Non-mobilizable
AI2615_v1_c3	G1	108267	IncX3	MOBP	MPF_T	-	Conjugative
AI2615_v1_c4	G39	5413	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2615_v1_c5	G40	4995	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2615_v1_c6	G41	3223	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2616_v1_c1	-	5186317	-	-	-	-	Non-mobilizable
AI2616_v1_c2	G1	70086	IncL/M	MOBP	MPF_I	-	Conjugative
AI2616_v1_c3	G42	3223	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2616_v1_c4	G43	2912	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2617_v1_c1	-	5480730	IncP	MOBP	MPF_T	-	Conjugative
AI2617_v1_c2	G1	194555	IncA/C2	MOBH	MPF_F	-	Conjugative
AI2617_v1_c3	G1	79391	IncL/M	MOBP	MPF_I	-	Conjugative
AI2617_v1_c4	G987	12879	-	-	-	-	Non-mobilizable
AI2617_v1_c5	G44	3696	-	-	-	-	Non-mobilizable
AI2617_v1_c6	G45	3223	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2618_v1_c1	-	5429141	IncP	MOBP	MPF_T	-	Conjugative
AI2618_v1_c2	G1	68707	IncL/M	MOBP	MPF_I	-	Conjugative
AI2618_v1_c3	G46	19482	-	MOBP	-	-	Mobilizable
AI2618_v1_c4	G987	12879	-	-	-	-	Non-mobilizable
AI2618_v1_c5	G47	4783	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2618_v1_c6	G48	3696	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2618_v1_c7	G49	3223	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2619_v1_c1	-	4667670	-	-	-	-	Non-mobilizable
AI2619_v1_c2	G28	115150	IncFIB	-	-	-	Non-mobilizable
AI2619_v1_c3	G1	106402	rep_cluster_1444	-	-	MOB_unknown	Mobilizable
AI2619_v1_c4	G50	52637	IncN	MOBF	MPF_T	-	Conjugative
AI2619_v1_c5	G51	3214	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2619_v1_c6	G52	2388	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2620_v1_c1	-	4716089	-	-	-	-	Non-mobilizable
AI2620_v1_c2	G28	115150	IncFIB	-	-	-	Non-mobilizable
AI2620_v1_c3	G1	103280	-	-	-	MOB_unknown	Mobilizable
AI2620_v1_c4	G1	95152	IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2620_v1_c5	G1	76169	IncL/M	MOBP	MPF_I	-	Conjugative
AI2620_v1_c6	G53	9923	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2621_v1_c1	-	5273511	-	-	-	-	Non-mobilizable
AI2621_v1_c2	G1	244129	IncFIB,rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2621_v1_c3	G1	96511	rep_cluster_1418,IncFII	MOBF	MPF_F	-	Conjugative
AI2621_v1_c4	G1	65498	IncL/M	MOBP	MPF_I	-	Conjugative
AI2621_v1_c5	G1042	5167	ColRNAI_rep_cluster_1291	MOBQ	-	-	Mobilizable
AI2621_v1_c6	G54	3959	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2621_v1_c7	G55	1549	ColRNAI_rep_cluster_1885	-	-	MOBP,MOB_unknown	Mobilizable
AI2622_v1_c1	-	5403838	-	-	MPF_T	-	Non-mobilizable
AI2622_v1_c2	G1	247964	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2622_v1_c3	G1	190092	IncH,rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2622_v1_c4	G1	61829	IncL/M	MOBP	MPF_I	-	Conjugative
AI2623_v1_c1	-	6005530	-	-	-	-	Non-mobilizable
AI2623_v1_c2	G1	253358	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2623_v1_c3	G1	68845	IncL/M	MOBP	MPF_I	-	Conjugative
AI2623_v1_c4	G978	34760	-	-	-	-	Non-mobilizable
AI2623_v1_c5	G998	21209	-	-	-	-	Non-mobilizable
AI2623_v1_c6	G56	5413	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	MOBP	Mobilizable
AI2623_v1_c7	G910	2546	ColRNAI_rep_cluster_1990	MOBV	-	-	Mobilizable
AI2624_v1_c1	-	4788084	-	-	-	-	Non-mobilizable
AI2624_v1_c2	G1	213001	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
AI2624_v1_c3	G1	68845	IncL/M	MOBP	MPF_I	-	Conjugative
AI2624_v1_c4	-	4077	-	-	-	-	Non-mobilizable
AI2626_v1_c1	-	5274880	-	-	-	-	Non-mobilizable
AI2626_v1_c2	G1	237704	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2626_v1_c3	G1	39384	IncR	MOBP	-	-	Mobilizable
AI2627_v1_c1	-	5378100	-	-	-	-	Non-mobilizable
AI2627_v1_c2	G1	238033	IncFIB,IncFII,IncFII,IncFIB	-	MPF_F	-	Non-mobilizable
AI2627_v1_c3	G1	13636	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2627_v1_c4	G57	4850	-	-	-	-	Non-mobilizable
AI2627_v1_c5	G58	3611	-	-	-	-	Non-mobilizable
AI2627_v1_c6	G59	1195	-	-	-	-	Non-mobilizable
AI2627_v1_c7	G60	639	-	-	-	-	Non-mobilizable
AI2627_v1_c8	G61	415	-	-	-	-	Non-mobilizable
AI2627_v1_c9	G62	152	-	-	-	-	Non-mobilizable
AI2628_v1_c1	-	5378100	-	-	-	-	Non-mobilizable
AI2628_v1_c2	G1	240308	IncFIB,IncFII,IncFII,IncFIB	-	MPF_F	-	Non-mobilizable
AI2628_v1_c3	G1	13636	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2629_v1_c1	-	5378087	-	-	-	-	Non-mobilizable
AI2629_v1_c2	G1	241995	IncFIB,IncFII,IncFII,IncFIB	-	MPF_F	-	Non-mobilizable
AI2629_v1_c3	G1	13636	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2630_v1_c1	-	5390649	-	-	-	-	Non-mobilizable
AI2630_v1_c2	G1	227360	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2630_v1_c3	G1	64939	IncL/M	MOBP	MPF_I	-	Conjugative
AI2631_v5_c1	-	5339607	-	-	-	-	Non-mobilizable
AI2631_v5_c2	G1	238447	IncFIB,IncFII,IncFII,IncFIB	-	MPF_F	-	Non-mobilizable
AI2631_v5_c3	G1	13636	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2632_v1_c1	-	5378100	-	-	-	-	Non-mobilizable
AI2632_v1_c2	G1	252697	IncFIB,IncFII,IncFII,IncFIB	-	MPF_F	-	Non-mobilizable
AI2632_v1_c3	G1	13636	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2633_v1_c1	-	5352704	-	-	MPF_T	-	Non-mobilizable
AI2633_v1_c2	G1	225098	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2633_v1_c3	G1	68475	IncL/M	MOBP	MPF_I	-	Conjugative
AI2633_v1_c4	G1	51281	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative
AI2633_v1_c5	G1	34475	-	MOBP	MPF_T	-	Conjugative
AI2634_v1_c1	-	5333040	-	-	MPF_T	-	Non-mobilizable
AI2634_v1_c2	G1	174712	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2634_v1_c3	G1	113381	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative
AI2634_v1_c4	G1	35252	-	MOBP	MPF_T	-	Conjugative
AI2635_v1_c1	-	5311187	-	-	-	-	Non-mobilizable
AI2635_v1_c2	G1	417446	IncFII,IncFIB,rep_cluster_1150	MOBF,MOBH	MPF_F	-	Conjugative
AI2635_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2635_v1_c4	G1	53260	IncN	MOBF	MPF_T	MOBF	Conjugative
AI2635_v1_c5	G63	5599	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AI2635_v1_c6	G64	4167	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2635_v1_c7	G911	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AI2636_v1_c1	-	5314374	-	-	-	-	Non-mobilizable
AI2636_v1_c10	G65	186	-	-	-	-	Non-mobilizable
AI2636_v1_c2	G1	307694	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2636_v1_c3	G1	166429	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2636_v1_c4	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2636_v1_c5	G1	24216	-	-	-	-	Non-mobilizable
AI2636_v1_c6	G66	5599	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AI2636_v1_c7	G67	4167	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2636_v1_c8	G68	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AI2636_v1_c9	G69	717	-	-	-	-	Non-mobilizable
AI2637_v1_c1	-	5370040	-	-	-	-	Non-mobilizable
AI2637_v1_c2	G1	247222	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2637_v1_c3	G1	61829	IncL/M	MOBP	MPF_I	-	Conjugative
AI2637_v1_c4	G15	53250	rep_cluster_1	-	-	-	Non-mobilizable
AI2638_v1_c1	-	5328145	-	-	-	-	Non-mobilizable
AI2638_v1_c2	G1	190829	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative
AI2638_v1_c3	G1	64483	IncFIA,IncR	-	-	-	Non-mobilizable
AI2638_v1_c4	G1	34959	ColRNAI_rep_cluster_1857	MOBC	-	-	Mobilizable
AI2638_v1_c5	G70	4709	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2639_v1_c1	-	5230728	-	-	-	-	Non-mobilizable
AI2639_v1_c2	G1	510571	IncFIB,IncFII,rep_cluster_1150	MOBF,MOBH	MPF_F	-	Conjugative
AI2639_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AI2639_v1_c4	G71	5599	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AI2639_v1_c5	G72	4167	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AI2639_v1_c6	G73	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AI2640_v1_c1	-	5309557	-	-	-	-	Non-mobilizable
AI2640_v1_c2	G1	341694	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2640_v1_c3	G1	168173	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2640_v1_c4	G1	65498	IncL/M	MOBP	MPF_I	-	Conjugative
AI2640_v1_c5	G74	4167	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2641_v1_c1	-	5309557	-	-	-	-	Non-mobilizable
AI2641_v1_c2	G1	341694	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AI2641_v1_c3	G1	168173	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2641_v1_c4	G1	65498	IncL/M	MOBP	MPF_I	-	Conjugative
AI2641_v1_c5	G75	4167	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2642_v1_c1	-	5142846	rep_cluster_1527	-	-	-	Non-mobilizable
AI2642_v1_c2	G1	197744	IncFII,IncFIB,IncFII	MOBF	MPF_F	MOBP	Conjugative
AI2642_v1_c3	G1	40203	IncP,IncU	MOBP	-	-	Mobilizable
AI2642_v1_c4	G1	37891	IncN	-	MPF_T	MOBF	Mobilizable
AI2643_v1_c1	-	5304750	-	-	-	-	Non-mobilizable
AI2643_v1_c2	G1	227132	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AI2643_v1_c3	G76	6761	ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AI2643_v1_c4	G77	5225	ColRNAI_rep_cluster_1987	MOBP,MOBP	-	-	Mobilizable
AI2643_v1_c5	G78	4859	ColRNAI_rep_cluster_1987	MOBP	-	MOBP	Mobilizable
AI2643_v1_c6	G79	1917	ColRNAI_rep_cluster_1987	-	-	MOBP	Mobilizable
